from,to,arrival_time,time_index,length,maxspeed,flood_level,effective_time,risk,cost,geometry
212389808,42908574,674.0,11,23.827569958624988,7.465277777777778,8.08768850954e-06,3.1917861153879055,9.560812136307488e-08,1.5958931054980134,"LINESTRING (13481519.110375805 1650754.0698608563, 13481511.930268647 1650730.4807857098)"
42908574,42910293,677.1917861153879,11,46.89791845558848,7.465277777777778,7.570537524600001e-06,6.282139774516039,1.7614522556521361e-07,3.141069975330632,"LINESTRING (13481497.803825269 1650684.0506462264, 13481511.930268647 1650730.4807857098)"
42910293,42908238,683.473925889904,11,27.95163795620262,7.465277777777778,0.0752847737151917,3.7442194099471418,0.0010518696982856352,1.8726356398227137,"LINESTRING (13481489.388071764 1650656.3767128366, 13481497.803825269 1650684.0506462264)"
42908238,42910532,687.2181452998511,11,20.54897733548976,7.465277777777778,0.3027194983760516,9.175357321893102,0.010598577907878576,4.59297794990049,"LINESTRING (13481489.388071764 1650656.3767128366, 13481483.198708076 1650636.0326514638)"
42910532,42908649,696.3935026217442,11,65.19213446265256,7.465277777777778,0.1157972411011869,29.10904608564952,0.012628806689730218,14.560837446169625,"LINESTRING (13481483.198708076 1650636.0326514638, 13481463.5619499 1650571.4909953503)"
42908649,42910672,725.5025487073938,12,61.46108931426544,7.465277777777778,1.34486130304e-06,8.232927312794628,4.1007951269513225e-08,4.116463676901289,"LINESTRING (13481463.5619499 1650571.4909953503, 13481445.04951858 1650510.643174311)"
42910672,42911037,733.7354760201883,12,61.6119211434103,7.465277777777778,2.3717828213219053e-06,8.253131762466124,7.24986695518589e-08,4.126565917482397,"LINESTRING (13481426.49255946 1650449.645912702, 13481445.04951858 1650510.643174311)"
42911037,42908579,741.9886077826544,12,58.564879182972625,7.465277777777778,0.0232151794853659,7.844969862649356,0.0006760932705225046,3.9228229779599393,"LINESTRING (13481408.859552125 1650391.663555499, 13481426.49255946 1650449.645912702)"
42908579,42001080,749.8335776453038,12,62.78598044363856,7.465277777777778,0.0783383832676779,8.410401101287398,0.0024593277789167543,4.206430214533158,"LINESTRING (13481470.853376543 1650372.2172302133, 13481408.859552125 1650391.663555499)"
42001080,42001059,758.2439787465912,12,49.209327072412925,11.11111111111111,0.0357370967940461,4.428839436517164,0.0005882943928096992,2.2147138654549865,"LINESTRING (13481453.576591576 1650324.3148965028, 13481468.203972666 1650364.7723984113, 13481470.853376543 1650372.2172302133)"
42001059,42001029,762.6728181831083,12,50.723788439743295,11.11111111111111,0.0229226734825132,4.565140959576897,0.00038846337057276434,2.282764711473735,"LINESTRING (13481433.338708147 1650275.8833478168, 13481453.576591576 1650324.3148965028)"
42001029,21322208,767.2379591426852,12,232.36179112350385,11.11111111111111,0.0193789853290364,20.91256120111535,0.0015038873209513417,10.45703254421815,"LINESTRING (13481433.338708147 1650275.8833478168, 13481409.093323056 1650222.7917071714, 13481392.562378671 1650189.4340127148, 13481386.027924564 1650176.247437157, 13481348.769290991 1650092.3874217814, 13481343.648594417 1650080.6392174354, 13481341.667107482 1650076.094125156, 13481332.538909236 1650057.6261004026)"
21322208,9767730512,788.1505203438005,13,177.3064051927455,11.11111111111111,0.0263071636255483,15.957576467347096,0.0015588997912103096,7.979567683569153,"LINESTRING (13481255.68393279 1649891.023266394, 13481277.357837649 1649937.2448276838, 13481278.749331286 1649940.2135044204, 13481287.332064025 1649958.6008975767, 13481332.538909236 1650057.6261004026)"
9767730512,41990731,804.1080968111476,13,12.961628383837242,11.11111111111111,0.3278647458269482,3.888488515151173,0.004876602771494335,1.9466825589613337,"LINESTRING (13481255.68393279 1649891.023266394, 13481250.129090203 1649878.8148970432)"
41990731,212398856,807.9965853262987,13,48.80836991819932,11.11111111111111,0.1972702938483821,14.642510975459796,0.010909285987745852,7.326710130723771,"LINESTRING (13481250.129090203 1649878.8148970432, 13481230.381012537 1649832.3287945464)"
212398856,212398735,822.6390963017585,13,27.191924770971312,11.11111111111111,0.2135318250670319,8.157577431291394,0.006589229276682246,4.082083330284038,"LINESTRING (13481219.015292527 1649806.588878137, 13481223.77976673 1649817.5890358894, 13481228.577636784 1649828.3475630211, 13481230.381012537 1649832.3287945464)"
212398735,7455811334,830.7966737330499,13,35.548988130552914,11.11111111111111,0.105744939168153,10.664696439165875,0.004220972173812598,5.334458705669843,"LINESTRING (13481203.909237625 1649773.0476317822, 13481219.015292527 1649806.588878137)"
7455811334,7455811335,841.4613701722158,14,11.099968815191598,11.11111111111111,3.854581679245714e-06,0.9989971933672439,1.4261917642449287e-08,0.4994986038145808,"LINESTRING (13481199.534381637 1649762.4272052762, 13481203.909237625 1649773.0476317822)"
7455811335,41982265,842.460367365583,14,123.37750009076798,7.465277777777778,2.573507624972571e-05,16.526846523786595,1.5752620371131064e-06,8.263424049524316,"LINESTRING (13481074.533725424 1649757.1457597408, 13481087.76961288 1649762.6803464838, 13481093.424643014 1649764.7860211777, 13481100.2262639 1649766.511984172, 13481120.51980707 1649770.3896481306, 13481129.11367176 1649771.1375655797, 13481137.028487552 1649770.7923729082, 13481199.534381637 1649762.4272052762)"
41982265,9201272952,858.9872138893696,14,71.37647868029553,8.333333333333334,0.09186676590241,8.565177441635463,0.0029410501162707397,4.284059245875866,"LINESTRING (13481044.922740875 1649824.5504352737, 13481049.030430084 1649813.3201456484, 13481054.963758944 1649796.9234715225, 13481059.850684589 1649783.334376348, 13481074.533725424 1649757.1457597408)"
9201272952,1133370552,867.5523913310051,14,8.476054709211718,8.333333333333334,0.3773182976813544,3.390421883684687,0.00491672018628902,1.697669301935488,"LINESTRING (13481044.922740875 1649824.5504352737, 13481041.371649118 1649832.570430006)"
1133370552,1133370657,870.9428132146897,14,110.19288238275143,7.465277777777778,0.0615406093870094,14.760720988945309,0.003385088678235563,7.382053038811772,"LINESTRING (13481041.371649118 1649832.570430006, 13481002.198320303 1649822.8014554132, 13480930.58649188 1649805.576311556)"
1133370657,8324610889,885.7035342036351,14,63.8307686405156,7.465277777777778,0.1007756810979512,28.501180416230227,0.01074507385383975,14.255962745042034,"LINESTRING (13480951.347576914 1649742.8893142473, 13480935.851903794 1649787.5687422217, 13480930.58649188 1649805.576311556)"
8324610889,1299249884,914.2047146198653,15,129.11769501544134,7.465277777777778,0.1420267284182565,57.65255219294126,0.030757370102776814,28.841654781522017,"LINESTRING (13480823.152051315 1649705.6661067605, 13480850.603437744 1649712.316802551, 13480868.370028475 1649717.0229187983, 13480889.721106807 1649723.662111183, 13480909.947858285 1649730.0021388198, 13480920.17811949 1649732.5450541633, 13480936.219258115 1649736.9520076076, 13480951.347576914 1649742.8893142473)"
1299249884,1133370810,971.8572668128065,16,38.06607827503737,7.465277777777778,0.1782588999564685,16.99694657862134,0.0114217080639253,8.504184143342632,"LINESTRING (13480823.152051315 1649705.6661067605, 13480829.46386644 1649687.3939619625, 13480830.298762623 1649682.2275959686, 13480830.82196423 1649676.8541162026, 13480830.5881933 1649667.4303932106)"
1133370810,612756234,988.8542133914278,16,82.35276884672949,7.465277777777778,0.0231654205985965,11.031440664120044,0.0009486664790295698,5.516194665299537,"LINESTRING (13480830.5881933 1649667.4303932106, 13480829.86461661 1649656.0275780375, 13480829.141039921 1649642.8758006461, 13480826.580691632 1649629.6549919692, 13480809.66012903 1649590.9476337612, 13480808.546934122 1649588.9800496607, 13480806.04224558 1649588.1170742265)"
612756234,33172319,999.8856540555479,16,29.041930494907653,7.465277777777778,6.190909358758476e-05,3.890267898852746,8.920164832140109e-07,1.9451343954346147,"LINESTRING (13480806.04224558 1649588.1170742265, 13480804.99584237 1649590.1536962995, 13480802.969827635 1649592.2018248755, 13480794.843504809 1649598.9445414806, 13480783.344201405 1649607.4822500763)"
33172319,33172304,1003.7759219544006,16,45.884379659818265,7.465277777777778,7.504816483504762e-05,6.146372717222167,1.7084350170236793e-06,3.0731872128285924,"LINESTRING (13480750.69419476 1649573.0092557454, 13480783.344201405 1649607.4822500763)"
33172304,33172310,1009.9222946716228,16,47.27564329882715,7.465277777777778,5.55294836136781e-05,6.33273733491266,1.3024280991971524e-06,3.16636931867038,"LINESTRING (13480713.057074921 1649541.7580773253, 13480750.69419476 1649573.0092557454)"
33172310,33120912,1016.2550320065354,16,44.020880848380415,7.465277777777778,0.0200233350885267,5.896750550852818,0.0004381816023893683,2.9485943662276037,"LINESTRING (13480682.499874698 1649507.9755510024, 13480713.057074921 1649541.7580773253)"
33120912,8272483580,1022.1517825573883,17,79.60940807857081,8.333333333333334,0.0134345374730944,9.553128969428496,0.00047597885328285594,4.776802474140889,"LINESTRING (13480611.166344993 1649549.1796533759, 13480630.947818512 1649537.7538790607, 13480658.621843921 1649521.7716112894, 13480682.499874698 1649507.9755510024)"
8272483580,317496252,1031.7049115268169,17,512.5451446894617,8.333333333333334,0.0240291722406958,61.5054173627354,0.0054869466310677115,30.755452154683233,"LINESTRING (13480108.057906356 1649646.7074201228, 13480124.978468958 1649648.5714514302, 13480139.772829281 1649650.7001293262, 13480164.841978613 1649655.6593742021, 13480189.310002685 1649661.5851553231, 13480212.163894147 1649667.8216099676, 13480232.390645625 1649673.3906962315, 13480239.704336168 1649675.1396657259, 13480246.995762818 1649676.2212653414, 13480254.4096409 1649676.5549503383, 13480261.801255092 1649676.1177079296, 13480269.43777216 1649675.059121075, 13480474.243371323 1649614.6161866991, 13480481.345554836 1649612.2113594508, 13480488.247363264 1649609.668456246, 13480524.069975398 1649595.0093721848, 13480538.330002172 1649588.6808848407, 13480555.684710788 1649579.8900432382, 13480575.532975994 1649569.4422930689, 13480596.071422046 1649558.166091798, 13480611.166344993 1649549.1796533759)"
317496252,317496239,1093.2103288895523,18,10.47870612820632,8.333333333333334,6.152181769386666e-06,1.2574447353847582,2.8651975319965726e-08,0.6287223820183667,"LINESTRING (13480097.2710477 1649645.602809043, 13480108.057906356 1649646.7074201228)"
317496239,12096070301,1094.467773624937,18,84.6268888436956,8.333333333333334,0.0131110542601348,10.155226661243471,0.0004937788732060952,5.077860220058339,"LINESTRING (13480097.2710477 1649645.602809043, 13480082.7327222 1649644.5327171052, 13480071.53398143 1649645.050503521, 13480061.381643867 1649647.2942447786, 13480052.810043076 1649650.481508345, 13480045.295977447 1649655.1300811996, 13480040.19754477 1649659.7441357966, 13480035.043452345 1649665.163637412, 13480021.90775243 1649678.9597837257)"
12096070301,32929975,1104.6230002861805,18,34.03920611326879,8.333333333333334,0.0001523704997968,4.084704733592255,2.3051777227574607e-06,2.0423535193849887,"LINESTRING (13479997.606707592 1649704.4579355686, 13480021.90775243 1649678.9597837257)"
32929975,8317048911,1108.7077050197727,18,191.32305621445397,7.465277777777778,0.0047786167968642,25.62839078593616,0.0004538028947023101,12.814422294415431,"LINESTRING (13479859.52601121 1649562.5845210827, 13479993.54354618 1649700.5687753623, 13479997.606707592 1649704.4579355686)"
