from,to,arrival_time,time_index,length,maxspeed,flood_level,effective_time,risk,cost,geometry
34018597,12144715004,352.0,5,172.61593896759877,7.465277777777778,0.0011999956015618,23.12250717333416,0.00010277865378403884,23.12250717333416,"LINESTRING (13479103.154599069 1648468.2184712733, 13479136.361203171 1648468.6441869098, 13479151.16669545 1648471.0949284188, 13479165.927659929 1648477.5266877846, 13479173.441725558 1648485.3966782195, 13479180.109763054 1648496.4192712898, 13479183.805570148 1648507.1542230328, 13479187.200814618 1648527.9107771954, 13479186.91138394 1648548.3797018228, 13479179.5309017 1648585.325059769)"
12144715004,12144714802,375.12250717333416,6,15.26320883533432,7.465277777777778,0.0096322348283691,2.0445600672447832,7.300982259322327e-05,2.0445600672447832,"LINESTRING (13479103.154599069 1648468.2184712733, 13479102.7983767 1648470.1629562676, 13479101.852161026 1648471.8888306492, 13479100.405007645 1648473.2350127478, 13479098.612763843 1648474.0634325382, 13479096.653540807 1648474.2820433197, 13479094.716581663 1648473.856327588, 13479093.013393456 1648472.8553203542, 13479091.722087363 1648471.3710683223)"
12144714802,34018427,377.16706724057894,6,203.3963781948029,7.465277777777778,0.0026298758131641,27.245654381443366,0.0002654501156967591,27.245654381443366,"LINESTRING (13479091.722087363 1648471.3710683223, 13479071.495335884 1648483.7858612638, 13479045.368651396 1648502.505861803, 13479026.96753957 1648510.0306846187, 13479020.377425712 1648511.2618102774, 13479011.783561023 1648510.4679068087, 13479000.017090844 1648507.4878925595, 13478980.725423094 1648497.0405867002, 13478974.758698387 1648493.8074455655, 13478957.882663583 1648482.186550246, 13478944.869415106 1648476.2610462774, 13478924.464552443 1648469.000867584, 13478914.167499548 1648463.1559074924, 13478908.968879329 1648460.198910482, 13478904.894585963 1648459.0138106095)"
34018427,34018744,404.41272162202233,6,271.04329504007467,8.333333333333334,0.0007037052119299,32.525195404808954,8.477688954226324e-05,32.525195404808954,"LINESTRING (13478975.126052707 1648193.449290937, 13478968.669522239 1648309.4155340595, 13478953.385356156 1648371.5236786886, 13478938.991745997 1648404.6948752638, 13478925.42190007 1648428.8570646388, 13478916.327097671 1648442.2153135566, 13478904.894585963 1648459.0138106095)"
34018744,34018757,436.9379170268313,7,89.88640260526914,8.333333333333334,0.0006864133775269,10.786368312632296,2.7423761921622177e-05,10.786368312632296,"LINESTRING (13478975.126052707 1648193.449290937, 13479063.168637976 1648163.4654477558)"
34018757,34018777,447.7242853394636,7,100.06619390134487,8.333333333333334,0.0105996849167953,12.007943268161384,0.0004719086234088705,12.007943268161384,"LINESTRING (13479164.636353835 1648171.8070736127, 13479096.876179786 1648158.5410133728, 13479076.66056026 1648158.7941384814, 13479063.168637976 1648163.4654477558)"
34018777,34018778,459.732228607625,7,264.9046831279562,8.333333333333334,0.0325626613996926,31.788561975354742,0.0038462622032086617,31.788561975354742,"LINESTRING (13479164.636353835 1648171.8070736127, 13479432.84953495 1648228.3346053662)"
34018778,34018811,491.52079058297977,8,76.77731151633937,8.333333333333334,9.040406563883811e-06,9.213277381960724,3.084883282144793e-07,9.213277381960724,"LINESTRING (13479432.84953495 1648228.3346053662, 13479418.934598602 1648306.5506011033)"
34018811,6507412884,500.7340679649405,8,109.25910260512568,8.333333333333334,0.003363083178027,13.11109231261508,0.00016336490028744953,13.11109231261508,"LINESTRING (13479418.934598602 1648306.5506011033, 13479403.761752008 1648418.5823784242)"
6507412884,6507424585,513.8451602775556,8,8.527420984959713,8.333333333333334,0.0468778315257459,1.0232905181951655,0.00017849818570107837,1.0232905181951655,"LINESTRING (13479402.581765404 1648427.326791959, 13479403.761752008 1648418.5823784242)"
6507424585,34018798,514.8684507957507,8,134.29420516644595,8.333333333333334,0.0358726747906378,16.115304619973514,0.0021487884034245945,16.115304619973514,"LINESTRING (13479383.924618749 1648565.0286932406, 13479402.581765404 1648427.326791959)"
34018798,34018804,530.9837554157242,8,235.50944635576735,8.333333333333334,0.0087735713811879,28.26113356269208,0.0009191430156045126,28.26113356269208,"LINESTRING (13479428.396755317 1648782.0303743044, 13479436.445154501 1648728.7807963542, 13479440.675295154 1648675.3587419924, 13479438.983238893 1648664.4396239822, 13479435.632522222 1648652.2203426254, 13479426.960733889 1648642.9350734607, 13479413.980881263 1648635.28364605, 13479406.255308598 1648631.5902510926, 13479397.650311964 1648627.505656054, 13479391.305100989 1648621.4880707646, 13479386.941376947 1648613.3534023014, 13479382.822555788 1648588.8228479405, 13479383.924618749 1648565.0286932406)"
34018804,34019086,559.2448889784163,9,98.88720542476248,8.333333333333334,3.2199741848047622e-06,11.866464650971498,1.4151748942390522e-07,11.866464650971498,"LINESTRING (13479428.396755317 1648782.0303743044, 13479417.765743949 1648883.800893859)"
34019086,34019087,571.1113536293877,9,76.77942630522111,7.465277777777778,2.809573029370474e-06,10.284871988792409,1.0702261877336684e-07,10.284871988792409,"LINESTRING (13479417.765743949 1648883.800893859, 13479495.578068014 1648867.7615105473)"
34019087,34019090,581.3962256181801,9,394.33563369066906,7.465277777777778,0.015889901925089,52.82263372228497,0.003113630301693724,52.82263372228497,"LINESTRING (13479614.12219376 1649258.1979770253, 13479580.136353219 1649146.1279515594, 13479537.81268282 1649007.4333550853, 13479515.715763897 1648931.527899664, 13479495.578068014 1648867.7615105473)"
34019090,2669684757,634.2188593404651,10,105.88653174344576,7.465277777777778,0.0058457795377803,14.18387029865692,0.00030727499810807244,14.18387029865692,"LINESTRING (13479646.549561424 1649362.8584834847, 13479614.12219376 1649258.1979770253)"
2669684757,32929976,648.402729639122,10,163.64324383284583,7.465277777777778,0.0125273072549103,21.920583359934696,0.001018332925940009,21.920583359934696,"LINESTRING (13479646.549561424 1649362.8584834847, 13479690.16453792 1649346.703733156, 13479693.604310185 1649347.3710944322, 13479697.032950502 1649349.0164852391, 13479748.09520093 1649387.090628385, 13479749.586882103 1649389.6220028899, 13479749.50895846 1649393.200446374, 13479746.74823509 1649397.2391404342, 13479725.786774972 1649417.7778082709, 13479725.23017752 1649419.5152537695, 13479725.319233114 1649421.1606492854, 13479726.298844628 1649424.635540867, 13479727.467699282 1649428.4441146404)"
32929976,8317142141,670.3233129990566,11,61.832702760233886,7.465277777777778,0.0081592613182687,8.282706230208074,0.00025050335353441676,8.282706230208074,"LINESTRING (13479727.467699282 1649428.4441146404, 13479772.351717971 1649474.0434882203)"
8317142141,8317122085,678.6060192292647,11,40.40180409772558,7.465277777777778,0.0086280293321164,5.411962595416264,0.00017309207489360335,5.411962595416264,"LINESTRING (13479772.351717971 1649474.0434882203, 13479801.684403796 1649503.833282498)"
8317122085,8317048913,684.017981824681,11,38.10489169006707,7.465277777777778,0.0238965506168702,5.104283165925263,0.0004528379188431887,5.104283165925263,"LINESTRING (13479829.347297259 1649531.931683869, 13479801.684403796 1649503.833282498)"
8317048913,8317048911,689.1222649906063,11,41.569635026984685,7.465277777777778,0.0058795500980883,5.568397622219344,0.00012132934162344541,5.568397622219344,"LINESTRING (13479859.52601121 1649562.5845210827, 13479829.347297259 1649531.931683869)"
8317048911,32929975,694.6906626128256,11,191.32305621445397,7.465277777777778,0.0039858248200475,25.62839078593616,0.00037848515333661957,25.62839078593616,"LINESTRING (13479859.52601121 1649562.5845210827, 13479993.54354618 1649700.5687753623, 13479997.606707592 1649704.4579355686)"
32929975,12096070301,720.3190533987618,12,34.03920611326879,8.333333333333334,0.0001297058046523,4.084704733592255,1.962284393258392e-06,4.084704733592255,"LINESTRING (13479997.606707592 1649704.4579355686, 13480021.90775243 1649678.9597837257)"
12096070301,317496239,724.403758132354,12,84.6268888436956,8.333333333333334,0.0118480223496197,10.155226661243471,0.00044615521118093315,10.155226661243471,"LINESTRING (13480097.2710477 1649645.602809043, 13480082.7327222 1649644.5327171052, 13480071.53398143 1649645.050503521, 13480061.381643867 1649647.2942447786, 13480052.810043076 1649650.481508345, 13480045.295977447 1649655.1300811996, 13480040.19754477 1649659.7441357966, 13480035.043452345 1649665.163637412, 13480021.90775243 1649678.9597837257)"
